Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number
0.1326842935607141,-19.027969439620247,,[ 64.          83.70507372  87.54676211 146.84927024 129.59316478]
-0.15499110674534555,-12.99606128858835,,[68.         35.33833531 16.88147854  5.17616555  4.40110368]
0.05116557525236923,-15.459405906263177,,[45.         46.57432679 51.95933868 46.85785184 55.22033622]
-0.038073170355543355,-15.035336179572816,,[56.         43.84692751 40.07872061 39.70246437 21.21903077]
0.1058664551851281,-16.962789093049636,,[44.         53.38941425 91.97135212 73.61318024 80.1533184 ]
0.05232912485649481,-17.108392954415613,,[65.         67.50801809 66.45302032 89.3395797  78.28101227]
0.058955940153350636,-15.847700118946362,,[65.         68.85102603 78.20196933 72.89352467 55.61771909]
-0.026286479436909933,-14.485556438363776,,[58.         47.18956305 42.44760571 24.31141297 22.73821283]
-0.13169182354133446,-12.399078679748456,,[57.         32.29090438 20.07553928 11.79808409  2.39883172]
-0.034226966085061726,-16.18779759504263,,[57.         45.19476597 41.36647574 32.30755544 33.57435788]
-0.06058131880226154,-12.06267369297652,,[54.         39.23853272 20.74322909 11.18526348  7.38456079]
-0.025257755567645167,-15.327456901330844,,[55.         44.89781853 54.64253386 34.00154729 17.28331257]
0.0657002616154611,-15.216146129923684,,[46.         49.70548898 57.43804443 45.98568658 51.24588182]
0.046683323155277304,-15.203985528673048,,[50.         51.05976738 61.3194187  45.30886737 42.37691453]
-0.09577773176577692,-12.711798667441876,,[63.         40.57597416 31.06589374 16.3291935   5.45447343]
-0.004371669694145035,-15.243737771306492,,[52.         45.37891389 56.69621356 45.83075855 26.60588314]
0.25881290380333566,-18.63834985137657,,[ 57.         103.65009606 204.06055859 281.55890135 477.39841411]
-0.05653595217126801,-13.670961046545006,,[51.         37.56453331 26.82680252 24.00980432 15.59452874]
